Ulasan,Rating,sentimen,cleaned_text,prediksi
Belum bisa on,5,positif,belum_bisa on,negatif
"Membantu, tapi sekarang jjs hotspot saya nggak bisa dipakek, diotak-atik nggak ada hasil",3,netral,bantu sekarang jjs tidak_bisa dipakek diotak atik tidak_ada hasil,negatif
"untuk aplikasinya bagus tapi tolong di tambahkan beberapa stasiun tv misalnya adi tv, jogja tv, kresna tv dan stasiun televisi yg ada di diy.",5,positif,bagus tambah beberapa stasiun misal adi kresna stasiun televisi yg diy,netral
"Saya belum pernah vaksin, bagaimana caranya",5,positif,belum_pernah vaksin cara,netral
tidak mengecewakan,5,positif,tidak_kecewa,negatif
Untuk bisa lebih ditingkatkan kualitas layanannya..terutama masalah jaminan konektivitas....masih sering bermasalah..,2,negatif,bisa lebih tingkat kualitas layan utama masalah jamin konektivitas masalah,netral
Masa pasport salah terus..gak jelas aplikasi ini,1,negatif,masa pasport salah terus gak jelas,netral
Aplikasi apaan sih ya. Mau daftar vaksin susah. Diberinpetunjuk WA tp tdk direspon 😂😂,1,negatif,ya mau vaksin susah diberinpetunjuk wa tidak_direspon face with tears of joy face with tears of joy,netral
"Aplikasi lengkap, cepat, dan mudah digunakan. Info terkini juga dapat segera diakses oleh masyarakat melalu aplikasi ini. Semoga dapat berkembang menjadi lebih baik lagi.",5,positif,lengkap cepat mudah guna kini dapat lalu moga dapat kembang jadi lebih baik lagi,netral
Jogja memang istimewa,5,positif,memang bagus,netral
Skrg video gak bisa di perbesar kaya yg lama,3,netral,sekarang video tidak_bisa besar kaya yg lama,negatif
Kok habis up date aplikasi ini.trus ga nyambung ada notifkasi aplikasi terhenti tunggu laporan,3,netral,habis up date trus tidak_nyambung notifkasi henti tunggu,positif
"bagus, cuman yang dilapangan kurang bisa mengikuti yang sudah online, kadang sudah daftar online, sudah ada report dari JSS, begitu sampai tempat, instansi yang berkenaan masih belum siap. Cetak ini itu, file yang sudah diattach via jss, jadi berkas, baru diproses.",4,positif,bagus hanya lapang kurang_bisa ikut online online report begitu sampai tempat instansi kena belum_siap cetak diattach via jadi berkas baru proses,negatif
klk mau liat cctv Jogja di gogle jg ada loh,3,netral,kalo mau gogle loh,negatif
maju terus jogjaku,5,positif,maju terus jogjaku,netral
pengaduan selalu di respon,5,positif,adu respon,negatif
"Bagian ""pendaftaran vaksin"" memang tdk bs diklik kah?",3,netral,bagi vaksin memang tidak_bs klik,negatif
"mantap sekali aplikasinya, bisa ngurus surat tanpa harus ke kantor dinas.. bisa dilakukan jarak jauh, semoga update lebih bagus lagi dengan tambah fitur lainnya 👍👍",5,positif,bagus bisa ngurus surat tanpa kantor dinas bisa laku jarak jauh moga lebih bagus lagi tambah lain bagus bagus,netral
Masih perlu perbaikan,3,netral,perlu baik,positif
"Lumayan aplikasi ini, jadi tau lokasi yng mau dituju dengan cctv striming nya, tp data saya blm diverifikasi",5,positif,lumayan jadi tau lokasi yng mau tuju striming belum_verifikasi,negatif
JSS nya sering tdk konek...😓😓😓,1,negatif,tidak_konek downcast face with sweat downcast face with sweat,netral
"Walau agak lama ,akhirnya berhasil 👍🙏makasih",5,positif,walau agak lama akhir hasil bagus terima kasih terima kasih,netral
Maju terus Jogjakita,4,positif,maju terus jogjakita,netral
"Keren, ringan di HP lawas juga fungsinya yg luar biasa. Bbrp kali mau daftar RS Pratama pdhl nunggu lewat jam 00 agar kebagian, tapi setelah dicoba secara berkala lalu bisa. Goodluck untuk depelopnya, sehat terus untuk kita semua. Semoga ga error2 lagi. Trims",5,positif,keren ringan ponsel lawas fungsi yg luar biasa beberapa kali mau rs pratama padahal nunggu lewat jam bagi coba cara kala lalu bisa moga hasil depelopnya sehat terus semua moga tidak_error lagi terima kasih,netral
selalu tambah inovasi baru,3,netral,tambah inovasi baru,positif
Mengapa layanan buat surat pengantar di versi yg baru malah sudah tidak ada lagi daftar warga yg akan dibuatkan surat pengantar? Padahal ini sangat membantu bagi warga yg tidak punya HP Android apalagi aplikasinya. Mohon perhatian nya.,3,netral,mengapa layan surat antar versi yg baru justru tidak_ada lagi warga yg surat antar padahal sangat bantu bagi warga yg tidak_punya ponsel android apalagi perhati,negatif
jogja smart memang sangat smart!!!!,5,positif,smart memang sangat smart,netral
tidak error jarang sekali,5,positif,tidak_error jarang,negatif
"Aplikasi pemerintah, tapi pelayanan dari Kominfo kurang fast, mohon maaf, saya mau mendaftar dan verifikasi nya sangat lama dari tim Kominfo nya, mohon bisa di perbaiki lagi kinerja nya karena merupakan pelayanan masyarakat🙏🏻",1,negatif,perintah layan kominfo kurang_fast maaf mau sangat lama tim kominfo bisa baik lagi kerja rupa layan terima kasih light skin tone,netral
"3 dulu y, soalnya pengen cari WiFi yg terhubung selalu miss atau di Maps ad, di tempatnya g ada",3,netral,dulu y soal ken cari wifi yg hubung miss ad tempat tidak_ada,negatif
"Ini sangat tidak evektif sekali, bahkan membuat masarakatnya bolak balik, sistem, terlalu riber, saya pikir bisa memangkas waktu dan memudahkan semua urusan yg bersangkutan dengan data diri. Ternyata tidak membantu sama sekali.",1,negatif,sangat tidak_evektif bahkan masarakatnya bolak balik terlalu riber pikir bisa mangkas mudah semua urus yg sangkut diri nyata tidak_bantu sama,positif
"Untuk bisa tersambung WiFi, apakah harus menginstal aplikasi Jss ?",5,positif,bisa sambung wifi apakah menginstal,netral
aplikasi nya ringan enak dipakai ,5,positif,ringan enak,negatif
Mumtaz,5,positif,mumtaz,negatif
"Mantab, semua layanan selesai dalam satu genggaman... Maju terus Kota Jogja..",5,positif,mantab semua layan selesai satu genggam maju terus kota jogja,netral
menghemat waktu pada saat akan imunisasi,4,positif,hemat imunisasi,negatif
"Saya dan bapak saya tdk bisa login,gara gara dulu pernah login terus kehapus sekarang mau login ga bisa lagi, giamana cara nya biar bisa login lagi tolong",3,netral,bapak tidak_bisa gara gara dulu terus hapus sekarang mau tidak_bisa lagi giamana cara biar bisa lagi,negatif
Maju trs Pemkot Jogja,5,positif,maju terus perintah kota,netral
Aplikasi yang bagus. Sayang saya tidak bisa mengakses beberapa layanan karena ktp luar kota walau saya sudah beberapa tahun disini.,3,negatif,bagus sayang tidak_bisa beberapa layan kartu tanda duduk luar kota walau beberapa tahun sini,netral
Bangga,5,positif,bangga,negatif
Makasih banyak,5,positif,terima kasih banyak,netral
Presensi lebih pagi lebih lancar,5,positif,presensi lebih pagi lebih lancar,netral
jaskldasjldasjlkas,5,positif,jaskldasjldasjlkas,negatif
Love it,5,positif,love it,negatif
Jozzzzz...,5,positif,jozz,negatif
"Saya baru daftar pada jss, sehingga belum mengetahui dan manfaat jss",3,netral,baru belum_tahu manfaat,positif
"mengurus kependudukan pas saat proses upload berkas foto gagal, langsung balik ke halaman jss. Padahal ukuran berkasnya tidak sampai 1 MB. Minta bantuan pada nomor yang tertera di jss, harus melampirkan beberapa syarat yang mana syarat tersebut sebenarnya tidak harus menggunakannya jika ketua RT yang menguruskan.",1,negatif,urus duduk proses berkas foto gagal langsung balik halaman padahal ukur berkas tidak_sampai mb minta bantu tera lampir beberapa syarat mana syarat sebut benar tidak_harus guna ketua rt urus,netral
