Ulasan,cleaned_text,kata,skor_tfidf
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",sangat tarik banyak baru bisa,banyak,0.48152266040682296
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",sangat tarik banyak baru bisa,baru,0.4646580355158705
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",sangat tarik banyak baru bisa,bisa,0.3487782793725689
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",sangat tarik banyak baru bisa,sangat,0.25695753465372173
"Sangat menarik, banyak informasi baru yang bisa diperoleh.",sangat tarik banyak baru bisa,tarik,0.6037842120889376
"mantul, fast respon",mantul fast respon,respon,1.0
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,alas,0.4631216623607775
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,awal,0.4284085191824698
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,baik,0.25842349825903294
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,lebih,0.3022638331620092
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,sampai,0.4055435563028704
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,sekarang,0.3634767615403674
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,tidak_bisa,0.22760766107567187
kenapa ya dari awal sampai sekarang ini lebih sering tidak bisa membuka aplikasi dengan alasan karena dalam perbaikan....,ya awal sampai sekarang lebih tidak_bisa alas baik,ya,0.3089533259812161
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,akta,0.2663391082434119
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,akta lahir,0.2979816933978406
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,anak,0.27947196765662385
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,dukcapil,0.3111145528110525
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,jadi,0.20754778638977767
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,jadi mudah,0.3111145528110525
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,lagi,0.19174006818129025
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,lahir,0.2877950562417642
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,mudah,0.16667296679956867
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,perlu,0.24079231137235707
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,tak,0.2877950562417642
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,tak perlu,0.3111145528110525
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,urus,0.20914972621792846
Urus akte lahir anak jadi mudah tak perlu harus ke dukcapil lg,urus akta lahir anak jadi mudah tak perlu dukcapil lagi,urus akta,0.3111145528110525
